"id","county","phase","path__lat","path__lng"
"1","Grant","","47.75716962","-119.2557794"
"1","Grant","","47.75020917","-119.2557817"
"1","Grant","","47.75015981","-119.2557817"
"1","Grant","","47.74251404","-119.2557829"
"1","Grant","","47.74257257","-119.2663047"
"1","Grant","","47.74257265","-119.2663183"
"1","Grant","","47.74260272","-119.2771674"
"1","Grant","","47.7318006","-119.2772131"
"1","Grant","","47.73177188","-119.2772132"
"1","Grant","","47.7282381","-119.2772375"
"1","Grant","","47.72826036","-119.2806786"
"1","Grant","","47.72826052","-119.280721"
"1","Grant","","47.72832796","-119.2986487"
"1","Grant","","47.71361275","-119.2986905"
"1","Grant","","47.6992048","-119.2986969"
"1","Grant","","47.68788447","-119.298797"
"1","Grant","","47.68766221","-119.298799"
"1","Grant","","47.68473535","-119.2988001"
"1","Grant","","47.67040318","-119.2988331"
"1","Grant","","47.67038831","-119.3058006"
"1","Grant","","47.67038825","-119.3058268"
"1","Grant","","47.67028347","-119.3094232"
"1","Grant","","47.67023229","-119.3201436"
"1","Grant","","47.65564706","-119.3203368"
"1","Grant","","47.64854496","-119.3202486"
"1","Grant","","47.64231391","-119.3202498"
"1","Grant","","47.64226071","-119.3202498"
"1","Grant","","47.64122825","-119.3202565"
"1","Grant","","47.64039514","-119.3202633"
"1","Grant","","47.64003235","-119.3202663"
"1","Grant","","47.63722571","-119.3202895"
"1","Grant","","47.6371389","-119.3202902"
"1","Grant","","47.63245003","-119.3203068"
"1","Grant","","47.63244209","-119.3203068"
"1","Grant","","47.62679692","-119.3203042"
"1","Grant","","47.62679176","-119.3293156"
"1","Grant","","47.62679165","-119.3293483"
"1","Grant","","47.62674776","-119.341485"
"1","Grant","","47.62176938","-119.3416155"
"1","Grant","","47.61957625","-119.3416266"
"1","Grant","","47.6123879","-119.3417666"
"1","Grant","","47.6123697","-119.3466363"
"1","Grant","","47.61233304","-119.3627592"
"1","Grant","","47.61234845","-119.3630042"
"1","Grant","","47.6123936","-119.3836378"
"1","Grant","","47.61239529","-119.3840999"
"1","Grant","","47.61263526","-119.4051876"
"1","Grant","","47.59901206","-119.4053194"
"1","Grant","","47.59904292","-119.4267682"
"1","Grant","","47.59190331","-119.4268025"
"1","Grant","","47.58476151","-119.4268395"
"1","Grant","","47.58483048","-119.4373196"
"1","Grant","","47.58489852","-119.4477997"
"1","Grant","","47.57767656","-119.4477407"
"1","Grant","","47.57045458","-119.4476816"
"1","Grant","","47.57075993","-119.4690988"
"1","Grant","","47.5566065","-119.4691738"
"1","Grant","","47.55654097","-119.4900975"
"1","Grant","","47.54201992","-119.4904674"
"1","Grant","","47.54204005","-119.5120923"
